position,lap_time_ms,year,month,day,circuit_id,driver_number,driver_age,pit_next_lap,stint,race_progressed,nationality_id,compound_id,tyre_life,position_change,fast_stop
16,95463,2022,11,20,24,23,30,0,1,0.218181818,19,,,-1,1
12,94033,2022,11,20,24,23,30,0,2,0.636363636,19,,,-1,1
17,91974,2025,12,7,24,23,30,0,1,0.145454545,19,1,8,-2,1
12,94282,2023,11,26,24,23,30,0,1,0.290909091,19,2,17,-1,1
14,92201,2024,12,8,24,23,30,0,1,0.218181818,19,2,12,0,1
13,92175,2023,11,26,24,23,30,0,2,0.781818182,19,3,27,0,1
13,91616,2025,12,7,24,23,30,0,2,0.6,19,3,25,1,1
9,98438,2022,4,10,1,23,30,0,1,0.982758621,19,3,57,-2,1
16,97861,2024,3,24,1,23,30,0,1,0.103448276,19,2,6,-3,1
15,97440,2024,3,24,1,23,30,0,2,0.465517241,19,3,21,-5,1
7,168864,2025,3,16,1,23,30,1,1,0.034482759,19,,,0,1
7,163623,2025,3,16,1,23,30,1,2,0.051724138,19,,,0,1
7,154281,2025,3,16,1,23,30,0,3,0.068965517,19,,,0,1
7,110179,2025,3,16,1,23,30,0,4,0.568965517,19,4,31,0,1
9,105335,2025,3,16,1,23,30,0,5,0.75862069,19,2,11,-2,1
14,75217,2022,7,10,70,23,30,0,1,0.154929577,19,2,11,-1,1
10,75405,2022,7,10,70,23,30,0,2,0.577464789,19,3,30,1,1
10,116502,2023,7,2,70,23,30,0,1,0.028169014,19,2,2,1,1
10,80648,2023,7,2,70,23,30,0,2,0.197183099,19,2,14,0,1
10,74393,2023,7,2,70,23,30,0,3,0.577464789,19,3,27,0,0
12,74616,2024,6,30,70,23,30,0,1,0.169014085,19,2,12,0,1
14,77195,2024,6,30,70,23,30,0,2,0.549295775,19,3,27,-1,1
7,74030,2025,6,29,70,23,30,0,1,0.183098592,19,2,13,-1,1
16,135201,2022,6,12,73,23,30,0,1,0.176470588,19,2,9,0,0
15,114786,2022,6,12,73,23,30,0,2,0.568627451,19,3,20,0,1
14,112993,2023,4,30,73,23,30,0,1,0.137254902,19,2,7,-2,1
8,112482,2024,9,15,73,23,30,0,1,0.607843137,19,3,31,-3,1
19,156417,2025,9,21,73,23,30,0,1,0.019607843,19,2,1,0,1
19,110919,2025,9,21,73,23,30,0,2,0.294117647,19,2,14,-1,1
14,104752,2022,3,20,3,23,30,0,1,0.228070175,19,1,13,-1,0
16,103965,2022,3,20,3,23,30,0,2,0.614035088,19,2,22,0,0
14,132997,2022,3,20,3,23,30,0,3,0.807017544,19,2,13,1,0
12,103948,2023,3,5,3,23,30,0,1,0.192982456,19,1,11,-1,0
